Time,TotalAvailable,TotalAppAvailable
1,4400,440
2,4400,440
3,4400,440
4,4400,440
5,4400,440
6,4400,440
7,4400,440
8,4400,440
9,4400,440
10,4400,440
11,4400,440
12,4400,440
13,4400,440
14,4400,440
15,4400,440
16,4400,440
17,4400,440
18,4400,440
19,4400,440
20,4400,440
21,4400,440
22,4400,440
23,4400,440
24,4400,440
25,4400,440
26,4400,440
27,4400,440
28,4400,440
29,4400,440
30,4400,440
31,4400,440
32,4400,440
33,4400,440
34,4400,440
35,4400,440
36,4400,440
37,4400,440
38,4400,440
39,4400,440
40,4400,440
41,4400,440
42,4400,440
43,4400,440
44,4400,440
45,4400,440
46,4400,440
47,4400,440
48,4400,440
49,4400,440
50,4400,440
51,4400,440
52,4400,440
53,4400,440
54,4400,440
55,4400,440
56,4400,440
57,4400,440
58,4400,440
59,4400,440
60,4400,440
61,4400,440
62,4400,440
63,4400,440
64,4400,440
65,4400,440
66,4400,440
67,4400,440
68,4400,440
69,4400,440
70,4400,440
71,4400,440
72,4400,440
73,4400,440
74,4400,440
75,4400,440
76,4400,440
77,4400,440
78,4400,440
79,4400,440
80,4400,440
81,4400,440
82,4400,440
83,4400,440
84,4400,440
85,4400,440
86,4400,440
87,4400,440
88,4400,440
89,4400,440
90,4400,440
91,4400,440
92,4400,440
93,4400,440
94,4400,440
95,4400,440
96,4400,440
97,4400,440
98,4400,440
99,4400,440
100,4400,440
101,4400,440
102,4400,440
103,4400,440
104,4400,440
105,4400,440
106,4400,440
107,4400,440
108,4400,440
109,4400,440
110,4400,440
111,4400,440
112,4400,440
113,4400,440
114,4400,440
115,4400,440
116,4400,440
117,4400,440
118,4400,440
119,4400,440
120,4400,440
121,4400,440
122,4400,440
123,4400,440
124,4400,440
125,4400,440
126,4400,440
127,4400,440
128,4400,440
129,4400,440
130,4400,440
131,4400,440
132,4400,440
133,4400,440
134,4400,440
135,4400,440
136,4400,440
137,4400,440
138,4400,440
139,4400,440
140,4400,440
141,4400,440
142,4400,440
143,4400,440
144,4400,440
145,4400,440
146,4400,440
147,4400,440
148,4400,440
149,4400,440
150,4400,440
151,4400,440
152,4400,440
153,4400,440
154,4400,440
155,4400,440
156,4400,440
157,4400,440
158,4400,440
159,4400,440
160,4400,440
161,4400,440
162,4400,440
163,4400,440
164,4400,440
165,4400,440
166,4400,440
167,4400,440
168,4400,440
169,4400,440
170,4400,440
171,4400,440
172,4400,440
173,4400,440
174,4400,440
175,4400,440
176,4400,440
177,4400,440
178,4400,440
179,4400,440
180,4400,440
181,4400,440
182,4400,440
183,4400,440
184,4400,440
185,4400,440
186,4400,440
187,4400,440
188,4400,440
189,4400,440
190,4400,440
191,4400,440
192,4400,440
193,4400,440
194,4400,440
195,4400,440
196,4400,440
197,4400,440
198,4400,440
199,4400,440
200,4400,440
201,4400,440
202,4400,440
203,4400,440
204,4400,440
205,4400,440
206,4400,440
207,4400,440
208,4400,440
209,4400,440
210,4400,440
211,4400,440
212,4400,440
213,4400,440
214,4400,440
215,4400,440
216,4400,440
217,4400,440
218,4400,440
219,4400,440
220,4400,440
221,4400,440
222,4400,440
223,4400,440
224,4400,440
225,4400,440
226,4400,440
227,4400,440
228,4400,440
229,4400,440
230,4400,440
231,4400,440
232,4400,440
233,4400,440
234,4400,440
235,4400,440
236,4400,440
237,4400,440
238,4400,440
239,4400,440
240,4400,440
241,4400,440
242,4400,440
243,4400,440
244,4400,440
245,4400,440
246,4400,440
247,4400,440
248,4400,440
249,4400,440
250,4400,440
251,4400,440
252,4400,440
253,4400,440
254,4400,440
255,4400,440
256,4400,440
257,4400,440
258,4400,440
259,4400,440
260,4400,440
261,4400,440
262,4400,440
263,4400,440
264,4400,440
265,4400,440
266,4400,440
267,4400,440
268,4400,440
269,4400,440
270,4400,440
271,4400,440
272,4400,440
273,4400,440
274,4400,440
275,4400,440
276,4400,440
277,4400,440
278,4400,440
279,4400,440
280,4400,440
281,4400,440
282,4400,440
283,4400,440
284,4400,440
285,4400,440
286,4400,440
287,4400,440
288,4400,440
289,4400,440
290,4400,440
291,4400,440
292,4400,440
293,4400,440
294,4400,440
295,4400,440
296,4400,440
297,4400,440
298,4400,440
299,4400,440
300,4400,440
301,4400,440
302,4400,440
303,4400,440
304,4400,440
305,4400,440
306,4400,440
307,4400,440
308,4400,440
309,4400,440
310,4400,440
311,4400,440
312,4400,440
313,4400,440
314,4400,440
315,4400,440
316,4400,440
317,4400,440
318,4400,440
319,4400,440
320,4400,440
321,4400,440
322,4400,440
323,4400,440
324,4400,440
325,4400,440
326,4400,440
327,4400,440
328,4400,440
329,4400,440
330,4400,440
331,4400,440
332,4400,440
333,4400,440
334,4400,440
335,4400,440
336,4400,440
337,4400,440
338,4400,440
339,4400,440
340,4400,440
341,4400,440
342,4400,440
343,4400,440
344,4400,440
345,4400,440
346,4400,440
347,4400,440
348,4400,440
349,4400,440
350,4400,440
351,4400,440
352,4400,440
353,4400,440
354,4400,440
355,4400,440
356,4400,440
357,4400,440
358,4400,440
359,4400,440
360,4400,440
361,4400,440
362,4400,440
363,4400,440
364,4400,440
365,4400,440
366,4400,440
367,4400,440
368,4400,440
369,4400,440
370,4400,440
371,4400,440
372,4400,440
373,4400,440
374,4400,440
375,4400,440
376,4400,440
377,4400,440
378,4400,440
379,4400,440
380,4400,440
381,4400,440
382,4400,440
383,4400,440
384,4400,440
385,4400,440
386,4400,440
387,4400,440
388,4400,440
389,4400,440
390,4400,440
391,4400,440
392,4400,440
393,4400,440
394,4400,440
395,4400,440
396,4400,440
397,4400,440
398,4400,440
399,4400,440
400,4400,440
401,4400,440
402,4400,440
