Creation Time,Travel Endtime,Search Distance,Total Distance,Car Failed
951,1253,9,1814,false
1853,2506,9,3921,false
76,385,55,1860,false
151,653,9,3018,false
2776,2927,9,911,false
2148,2600,9,2717,false
1478,1587,55,656,false
1298,1901,9,3620,false
3227,3687,55,2763,false
540,1100,55,3365,false
2249,2802,9,3319,false
1758,2168,55,2462,false
701,1003,9,1814,false
1122,1632,55,3064,false
4899,5108,55,1258,false
3706,4617,55,5472,false
1663,2326,67,3979,false
4216,4919,9,4222,false
783,1243,55,2763,false
2561,2921,55,2161,false
1388,1948,55,3365,false
5634,6237,9,3620,false
5942,6452,55,3064,false
304,857,9,3319,false
620,1331,55,4268,false
227,687,55,2763,false
4483,4893,55,2462,false
2049,2258,55,1258,false
460,569,55,656,false
1036,1295,55,1559,false
7242,7353,67,668,false
3112,3622,55,3064,false
1950,2460,55,3064,false
4349,5210,55,5171,false
1210,1519,55,1860,false
1570,2072,9,3018,false
2887,3339,9,2717,false
6258,6818,55,3365,false
3957,4459,9,3018,false
382,985,9,3620,false
2456,2615,55,957,false
8089,8750,55,3967,false
6744,7196,9,2717,false
9597,9957,55,2161,false
2668,2970,9,1814,false
867,1377,55,3064,false
6581,6991,55,2462,false
3463,3815,9,2115,false
3344,4055,55,4268,false
4620,5022,9,2416,false
5334,5944,55,3666,false
4086,4137,9,309,false
6099,6551,9,2717,false
9760,10513,9,4523,false
7075,7134,55,355,false
2352,2661,55,1860,false
4758,4817,55,355,false
9920,10322,9,2416,false
10391,11102,55,4268,false
2999,3860,55,5171,false
6909,7218,55,1860,false
5787,6448,55,3967,false
12798,13050,9,1513,false
3584,4245,55,3967,false
3831,4090,55,1559,false
11138,11490,9,2115,false
10236,10889,9,3921,false
5042,5652,55,3666,false
5483,5893,55,2462,false
12457,12608,9,911,false
14149,14350,9,1212,false
8429,8781,9,2115,false
6419,7373,9,5727,false
7411,8072,55,3967,false
13840,14142,9,1814,false
7749,8560,55,4870,false
8598,8907,55,1860,false
5187,5848,55,3967,false
8767,8976,55,1258,false
10079,10589,55,3064,false
14919,15379,55,2763,false
7579,8081,9,3018,false
9269,9972,9,4222,false
7919,8171,9,1513,false
9434,9886,9,2717,false
13672,14284,67,3678,false
9102,9504,9,2416,false
14075,14427,9,2115,false
11281,11641,55,2161,false
15520,15972,9,2717,false
14429,15039,55,3666,false
15736,16440,12,4225,false
10993,11696,9,4222,false
13011,13772,55,4569,false
14362,14922,55,3365,false
14495,15005,55,3064,false
11961,12112,9,911,false
13404,13756,9,2115,false
12573,12933,55,2161,false
8935,9538,9,3620,false
10696,10948,9,1513,false
12089,12699,55,3666,false
12687,13139,9,2717,false
15898,16559,55,3967,false
16158,16620,67,2775,false
16194,16797,9,3620,false
13310,13469,55,957,false
16229,16641,67,2474,false
16733,17536,9,4824,false
15936,16346,55,2462,false
12215,12416,9,1212,false
16297,16707,55,2462,false
10545,10897,12,2118,false
8259,8619,55,2161,false
16397,16749,9,2115,false
11830,12232,9,2416,false
14560,15464,9,5426,false
18131,18240,55,656,false
17186,17839,12,3924,false
17534,18037,12,3021,false
15429,15982,9,3319,false
17330,17991,55,3967,false
16646,17249,9,3620,false
16847,17349,9,3018,false
15236,15738,9,3018,false
18203,18565,67,2173,false
17210,17820,55,3666,false
18360,19021,55,3967,false
13113,13573,55,2763,false
15134,15393,55,1559,false
16955,17156,9,1212,false
16616,16775,55,957,false
15285,15988,9,4222,false
10846,11005,55,957,false
18149,18802,9,3921,false
17705,18065,55,2161,false
18393,18745,9,2115,false
15475,15576,9,610,false
14623,15276,9,3921,false
14293,14903,55,3666,false
18443,18745,9,1814,false
18775,19237,67,2775,false
16050,16660,55,3666,false
11422,11774,9,2115,false
17353,17763,55,2462,false
18113,18272,55,957,false
17556,17808,12,1516,false
17490,18002,67,3076,false
17866,18125,55,1559,false
15609,16413,12,4827,false
19282,19792,55,3064,false
11697,12057,55,2161,false
18590,19050,55,2763,false
17161,17621,55,2763,false
17512,18122,55,3666,false
19893,19994,9,610,false
19587,19798,67,1270,false
19648,20151,12,3021,false
18790,19099,55,1860,false
17034,17336,9,1814,false
17787,18598,55,4870,false
13757,14518,55,4569,false
14745,14896,9,911,false
20115,20324,55,1258,false
18291,18543,12,1516,false
18699,18901,12,1215,false
17684,18148,77,2785,false
18637,18748,67,668,false
19148,19959,55,4870,false
17136,17337,9,1212,false
20017,20330,77,1882,false
19269,19831,67,3377,false
19778,19979,9,1212,false
18460,18719,55,1559,false
17847,18299,9,2717,false
18039,18441,9,2416,false
20082,20334,12,1516,false
18605,18957,12,2118,false
16928,17129,9,1212,false
18684,18835,9,911,false
18239,18699,55,2763,false
20397,20706,55,1860,false
13213,13422,55,1258,false
18221,18974,9,4523,false
20158,20720,67,3377,false
11561,12364,9,4824,false
20448,20800,12,2118,false
20547,20957,55,2462,false
18427,19037,55,3666,false
17377,17679,9,1814,false
17925,18838,67,5484,false
19361,19813,9,2717,false
20692,21001,55,1860,false
15652,16062,55,2462,false
15028,15380,9,2115,false
20557,20862,26,1831,false
17307,18161,9,5125,false
20508,21111,12,3623,false
20407,20558,9,911,false
20039,20599,55,3365,false
17259,17962,9,4222,false
17827,18638,55,4870,false
12337,12797,55,2763,false
20635,21441,26,4841,false
19450,20153,9,4222,false
16874,16925,9,309,false
20468,20627,55,957,false
18621,19024,12,2419,false
19766,20529,67,4581,false
19611,20214,12,3623,false
19550,19861,67,1872,false
20367,20827,55,2763,false
17008,17420,67,2474,false
13585,13937,9,2115,false
20428,21131,9,4222,false
21051,21414,77,2183,false
19399,19759,55,2161,false
20243,21046,9,4824,false
21566,21969,12,2419,false
15082,15642,55,3365,false
18185,18795,55,3666,false
19575,19776,9,1212,false
14222,14674,9,2717,false
19825,20287,67,2775,false
20458,20520,77,377,false
16791,17401,55,3666,false
14974,15133,55,957,false
21377,21688,67,1872,false
16819,17271,9,2717,false
20683,21446,67,4581,false
21293,21655,67,2173,false
21460,21870,55,2462,false
17468,17928,55,2763,false
20232,20635,12,2419,false
19983,20898,78,5495,false
21060,21119,55,355,false
16012,16321,55,1860,false
20664,21224,55,3365,false
21582,22084,9,3018,false
14685,14844,55,957,false
12906,13459,12,3322,false
13920,14172,9,1513,false
16524,16884,55,2161,false
18938,19498,55,3365,false
